"","production_countries.name","budget_mean","maturecontent_sum","notmature_sum","income_level","RELIGION_IMPORT","HOMOSEXUALITY","GENDER_EQUALITY"
"59","Slovakia",183506.340425532,5,42,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"60","South Africa",936963.884615385,29,153,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"61","South Korea",377732.70977918,181,770,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"62","Spain",519514.463392857,150,970,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"63","Sweden",200435.246987952,90,408,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"64","Tunisia",714.285714285714,1,13,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"65","Turkey",239944.548295455,68,284,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"66","Ukraine",289352.47,15,85,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"67","United Kingdom",1496293.43582704,533,2381,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"68","United States of America",2223976.84860624,3254,8728,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"69","Argentina",135584.590643275,70,443,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"70","Australia",1139590.29596413,140,529,"High income","Very important","Homosexuality should be accepted by society","Very important"
"71","Brazil",368178.274867122,89,1228,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"72","Bulgaria",1940223.24691358,9,72,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"73","Canada",1576406.07352234,565,1516,"High income","Very important","Homosexuality should be accepted by society","Very important"
"74","Czech Republic",442268.618243243,24,272,"High income","Very important","Homosexuality should be accepted by society","Very important"
"75","France",595447.064901156,213,2468,"High income","Very important","Homosexuality should be accepted by society","Very important"
"76","Germany",187527.304303626,329,2622,"High income","Very important","Homosexuality should be accepted by society","Very important"
"77","Greece",106367.875647668,13,180,"High income","Very important","Homosexuality should be accepted by society","Very important"
"78","Hungary",735550.237179487,17,139,"High income","Very important","Homosexuality should be accepted by society","Very important"
"79","India",741780.788833859,691,1530,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"80","Indonesia",102773.857855362,98,303,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"81","Israel",63675.1828571429,10,165,"High income","Very important","Homosexuality should be accepted by society","Very important"
"82","Italy",201833.538461538,101,692,"High income","Very important","Homosexuality should be accepted by society","Very important"
"83","Japan",299509.9872579,438,1524,"High income","Very important","Homosexuality should be accepted by society","Very important"
"84","Kenya",0.764705882352941,1,16,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"85","Lebanon",0,1,48,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"86","Lithuania",23594.1176470588,6,45,"High income","Very important","Homosexuality should be accepted by society","Very important"
"87","Mexico",358732.433198381,63,431,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"88","Netherlands",69708.4337152209,37,574,"High income","Very important","Homosexuality should be accepted by society","Very important"
"89","Nigeria",21600.04,6,44,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"90","Philippines",11036.5712250712,110,592,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"91","Poland",166440.397212544,34,253,"High income","Very important","Homosexuality should be accepted by society","Very important"
"92","Russia",834350.628899836,74,535,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"93","Slovakia",183506.340425532,5,42,"High income","Very important","Homosexuality should be accepted by society","Very important"
"94","South Africa",936963.884615385,29,153,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"95","South Korea",377732.70977918,181,770,"High income","Very important","Homosexuality should be accepted by society","Very important"
"96","Spain",519514.463392857,150,970,"High income","Very important","Homosexuality should be accepted by society","Very important"
"97","Sweden",200435.246987952,90,408,"High income","Very important","Homosexuality should be accepted by society","Very important"
"98","Tunisia",714.285714285714,1,13,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"99","Turkey",239944.548295455,68,284,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"100","Ukraine",289352.47,15,85,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"101","United Kingdom",1496293.43582704,533,2381,"High income","Very important","Homosexuality should be accepted by society","Very important"
"102","United States of America",2223976.84860624,3254,8728,"High income","Very important","Homosexuality should be accepted by society","Very important"
"103","Argentina",135584.590643275,70,443,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"104","Australia",1139590.29596413,140,529,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"105","Brazil",368178.274867122,89,1228,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"106","Bulgaria",1940223.24691358,9,72,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"107","Canada",1576406.07352234,565,1516,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"108","Czech Republic",442268.618243243,24,272,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"109","France",595447.064901156,213,2468,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"110","Germany",187527.304303626,329,2622,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"111","Greece",106367.875647668,13,180,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"112","Hungary",735550.237179487,17,139,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"113","India",741780.788833859,691,1530,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"114","Indonesia",102773.857855362,98,303,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"115","Israel",63675.1828571429,10,165,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"116","Italy",201833.538461538,101,692,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"117","Japan",299509.9872579,438,1524,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"118","Kenya",0.764705882352941,1,16,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"119","Lebanon",0,1,48,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"120","Lithuania",23594.1176470588,6,45,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"121","Mexico",358732.433198381,63,431,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"122","Netherlands",69708.4337152209,37,574,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"123","Nigeria",21600.04,6,44,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"124","Philippines",11036.5712250712,110,592,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"125","Poland",166440.397212544,34,253,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"126","Russia",834350.628899836,74,535,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"127","Slovakia",183506.340425532,5,42,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"128","South Africa",936963.884615385,29,153,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"129","South Korea",377732.70977918,181,770,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"130","Spain",519514.463392857,150,970,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"131","Sweden",200435.246987952,90,408,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"132","Tunisia",714.285714285714,1,13,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"133","Turkey",239944.548295455,68,284,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"134","Ukraine",289352.47,15,85,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"135","United Kingdom",1496293.43582704,533,2381,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"136","United States of America",2223976.84860624,3254,8728,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"137","Argentina",135584.590643275,70,443,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"138","Australia",1139590.29596413,140,529,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"139","Brazil",368178.274867122,89,1228,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"140","Bulgaria",1940223.24691358,9,72,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"141","Canada",1576406.07352234,565,1516,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"142","Czech Republic",442268.618243243,24,272,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"143","France",595447.064901156,213,2468,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"144","Germany",187527.304303626,329,2622,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"145","Greece",106367.875647668,13,180,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"146","Hungary",735550.237179487,17,139,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"147","India",741780.788833859,691,1530,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"148","Indonesia",102773.857855362,98,303,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"149","Israel",63675.1828571429,10,165,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"150","Italy",201833.538461538,101,692,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"151","Japan",299509.9872579,438,1524,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"152","Kenya",0.764705882352941,1,16,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"153","Lebanon",0,1,48,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"154","Lithuania",23594.1176470588,6,45,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"155","Mexico",358732.433198381,63,431,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"156","Netherlands",69708.4337152209,37,574,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"157","Nigeria",21600.04,6,44,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"158","Philippines",11036.5712250712,110,592,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"159","Poland",166440.397212544,34,253,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"160","Russia",834350.628899836,74,535,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"161","Slovakia",183506.340425532,5,42,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"162","South Africa",936963.884615385,29,153,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"163","South Korea",377732.70977918,181,770,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"164","Spain",519514.463392857,150,970,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"165","Sweden",200435.246987952,90,408,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"166","Tunisia",714.285714285714,1,13,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"167","Turkey",239944.548295455,68,284,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"168","Ukraine",289352.47,15,85,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"169","United Kingdom",1496293.43582704,533,2381,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"170","United States of America",2223976.84860624,3254,8728,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"171","Argentina",135584.590643275,70,443,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"172","Australia",1139590.29596413,140,529,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"173","Brazil",368178.274867122,89,1228,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"174","Bulgaria",1940223.24691358,9,72,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"175","Canada",1576406.07352234,565,1516,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"176","Czech Republic",442268.618243243,24,272,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"177","France",595447.064901156,213,2468,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"178","Germany",187527.304303626,329,2622,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"179","Greece",106367.875647668,13,180,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"180","Hungary",735550.237179487,17,139,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"181","India",741780.788833859,691,1530,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"182","Indonesia",102773.857855362,98,303,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"183","Israel",63675.1828571429,10,165,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"184","Italy",201833.538461538,101,692,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"185","Japan",299509.9872579,438,1524,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"186","Kenya",0.764705882352941,1,16,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"187","Lebanon",0,1,48,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"188","Lithuania",23594.1176470588,6,45,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"189","Mexico",358732.433198381,63,431,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"190","Netherlands",69708.4337152209,37,574,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"191","Nigeria",21600.04,6,44,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"192","Philippines",11036.5712250712,110,592,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"193","Poland",166440.397212544,34,253,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"194","Russia",834350.628899836,74,535,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"195","Slovakia",183506.340425532,5,42,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"196","South Africa",936963.884615385,29,153,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"197","South Korea",377732.70977918,181,770,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"198","Spain",519514.463392857,150,970,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"199","Sweden",200435.246987952,90,408,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"200","Tunisia",714.285714285714,1,13,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"201","Turkey",239944.548295455,68,284,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"202","Ukraine",289352.47,15,85,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"203","United Kingdom",1496293.43582704,533,2381,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"204","United States of America",2223976.84860624,3254,8728,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"205","Argentina",135584.590643275,70,443,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"206","Australia",1139590.29596413,140,529,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"207","Brazil",368178.274867122,89,1228,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"208","Bulgaria",1940223.24691358,9,72,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"209","Canada",1576406.07352234,565,1516,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"210","Czech Republic",442268.618243243,24,272,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"211","France",595447.064901156,213,2468,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"212","Germany",187527.304303626,329,2622,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"213","Greece",106367.875647668,13,180,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"214","Hungary",735550.237179487,17,139,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"215","India",741780.788833859,691,1530,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"216","Indonesia",102773.857855362,98,303,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"217","Israel",63675.1828571429,10,165,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"218","Italy",201833.538461538,101,692,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"219","Japan",299509.9872579,438,1524,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"220","Kenya",0.764705882352941,1,16,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"221","Lebanon",0,1,48,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"222","Lithuania",23594.1176470588,6,45,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"223","Mexico",358732.433198381,63,431,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"224","Netherlands",69708.4337152209,37,574,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"225","Nigeria",21600.04,6,44,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"226","Philippines",11036.5712250712,110,592,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"227","Poland",166440.397212544,34,253,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"228","Russia",834350.628899836,74,535,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"229","Slovakia",183506.340425532,5,42,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"230","South Africa",936963.884615385,29,153,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"231","South Korea",377732.70977918,181,770,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"232","Spain",519514.463392857,150,970,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"233","Sweden",200435.246987952,90,408,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"234","Tunisia",714.285714285714,1,13,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"235","Turkey",239944.548295455,68,284,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"236","Ukraine",289352.47,15,85,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"237","United Kingdom",1496293.43582704,533,2381,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"238","United States of America",2223976.84860624,3254,8728,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"239","Argentina",135584.590643275,70,443,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"240","Australia",1139590.29596413,140,529,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"241","Brazil",368178.274867122,89,1228,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"242","Bulgaria",1940223.24691358,9,72,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"243","Canada",1576406.07352234,565,1516,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"244","Czech Republic",442268.618243243,24,272,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"245","France",595447.064901156,213,2468,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"246","Germany",187527.304303626,329,2622,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"247","Greece",106367.875647668,13,180,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"248","Hungary",735550.237179487,17,139,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"249","India",741780.788833859,691,1530,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"250","Indonesia",102773.857855362,98,303,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"251","Israel",63675.1828571429,10,165,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"252","Italy",201833.538461538,101,692,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"253","Japan",299509.9872579,438,1524,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"254","Kenya",0.764705882352941,1,16,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"255","Lebanon",0,1,48,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"256","Lithuania",23594.1176470588,6,45,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"257","Mexico",358732.433198381,63,431,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"258","Netherlands",69708.4337152209,37,574,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"259","Nigeria",21600.04,6,44,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"260","Philippines",11036.5712250712,110,592,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"261","Poland",166440.397212544,34,253,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"262","Russia",834350.628899836,74,535,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"263","Slovakia",183506.340425532,5,42,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"264","South Africa",936963.884615385,29,153,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"265","South Korea",377732.70977918,181,770,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"266","Spain",519514.463392857,150,970,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"267","Sweden",200435.246987952,90,408,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"268","Tunisia",714.285714285714,1,13,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"269","Turkey",239944.548295455,68,284,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"270","Ukraine",289352.47,15,85,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"271","United Kingdom",1496293.43582704,533,2381,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"272","United States of America",2223976.84860624,3254,8728,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"273","Argentina",135584.590643275,70,443,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"274","Australia",1139590.29596413,140,529,"High income","Very important","Homosexuality should be accepted by society","Very important"
"275","Brazil",368178.274867122,89,1228,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"276","Bulgaria",1940223.24691358,9,72,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"277","Canada",1576406.07352234,565,1516,"High income","Very important","Homosexuality should be accepted by society","Very important"
